raw_entry,firstname,firstname_variant,familyname,familyname_variant,alias,relation,zusatz,office,institution,reference,cf_reference,pages
Abelinus Vanderlinden 37.,Abelinus,,Vanderlinden,,,,,,,,,37
Abraham Abrahe de Nouacuria 43 243 309.,Abraham Abrahe,,de Nouacuria,,,,,,,,,43 243 309
Achacius Berolczhaimer 5.,Achacius,,Berolczhaimer,,,,,,,,,5
Adalheidis Heinrici 123.,Adalheidis,,Heinrici,,,,,,,,,123
Adam Andree de Syrnycze 37.,Adam Andree,,de Syrnycze,,,,,,,,,37
Adam de Gich 275.,Adam,,de Gich,,,,,,,,,275
Adam de Neseticz 168.,Adam,,de Neseticz,,,,,,,,,168
"Adam Nicolai de Banchow (Banchcow, Bankow) 37 289.",Adam Nicolai,,de Banchow,"Banchcow, Bankow",,,,,,,,37 289
Adehildis Ollificis 37.,Adehildis,,Ollificis,,,,,,,,,37
Adelheidis Johannis de Mulnheim 37.,Adelheidis Johannis,,de Mulnheim,,,,,,,,,37
Adolffus com. de Nassow 38.,Adolffus,,,,,,,com. de Nassow,,,,38
Adolphus Bomel 38.,Adolphus,,Bomel,,,,,,,,,38
Adolphus Bruwer 38.,Adolphus,,Bruwer,,,,,,,,,38
Adolphus com. de Cliuis et de Marka 79 130.,Adolphus,,,,,,,com. de Cliuis et de Marka,,,,79 130
Adolphus Vandenbleeck 38.,Adolphus,,Vandenbleeck,,,,,,,,,38
Adouardus de Tornaquintis 261.,Adouardus,,de Tornaquintis,,,,,,,,,261
Aelidis (Seerf) 114.,Aelidis,,,,,,Seerf,,,,,114
Affra (de Weyspruch) 110.,Affra,,,,,,de Weyspruch,,,,,110
Affra (Han) 74.,Affra,,,,,,Han,,,,,74
Agatha de Vsenberg 38.,Agatha,,de Vsenberg,,,,,,,,,38
Agnes (bar. de Meissaw) 301.,Agnes,,,,,,bar. de Meissaw,,,,,301
Agnes (bar. de Querfurt) 322.,Agnes,,,,,,bar. de Querfurt,,,,,322
Agnes (Berolczhaimer) 5.,Agnes,,,,,,Berolczhaimer,,,,,5
Agnes (Falkinberg) 286.,Agnes,Falkinberg,,,,,,,,,,286
Agnes (Grolant) 211.,Agnes,,,,,,Grolant,,,,,211
Agnes (Heyncze de Brega) 311.,Agnes,,,,,,Heyncze de Brega,,,,,311
Agnes (Hospes) 358.,Agnes,,,,,,Hospes,,,,,358
Agnes (Mulle) 353.,Agnes,,,,,,Mulle,,,,,353
Agnes (Schenck de Erbach) 105.,Agnes,,,,,,Schenck de Erbach,,,,,105
Agnes (Swebichin) 245.,Agnes,,,,,,Swebichin,,,,,245
Agnes (Theoderici de Blankenstein) 294.,Agnes,,,,,,Theoderici de Blankenstein,,,,,294
Agnes (Vogt de Beringen) 320.,Agnes,,,,,,Vogt de Beringen,,,,,320
Agnes abbat. mon. in Kirchen 184.,Agnes,,,,,,,abbat.,mon. in Kirchen,,,184
Agnes Podich 233.,Agnes,,Podich,,,,,,,,,233
Agnes regina Vngarie 59.,Agnes,,,,,,,regina Vngarie,,,,59
Agnes relictæ Herbordi Kuykens de Tremonia 38.,Agnes,,,,,relictæ Herbordi Kuykens de Tremonia,,,,,,38
Agnes relictæ Leonardi Payrs 38.,Agnes,,,,,relictæ Leonardi Payrs,,,,,,38
Alamannus tit. s. Eusebii presb. card. 39.,Alamannus,,,,,,,tit. s. Eusebii presb. card.,,,,39
Albericus archidiac. Poznan. 5.,Albericus,,,,,,,archidiac. Poznan.,,,,5
Albertus abb. mon. in Sitich 6.,Albertus,,,,,,,abb.,mon. in Sitich,,,6
Albertus abb. mon. s. Michaelis Hildesem. 40.,Albertus,,,,,,,abb.,mon. s. Michaelis Hildesem.,,,40
Albertus aep. Magdeb. 139.,Albertus,,,,,,,aep. Magdeb.,,,,139
Albertus Appelderbeke 40.,Albertus,,Appelderbeke,,,,,,,,,40
Albertus bar. in Koldicz (Coldicz) 28 41.,Albertus,,,,,,Coldicz,bar. in Koldicz,,,,28 41
Albertus Bere 40 41.,Albertus,,Bere,,,,,,,,,40 41
Albertus Beyer al. Steneken 40.,Albertus,,Beyer,,Steneken,,,,,,,40
Albertus Blarer 30 41 191 214 300 309 326 360.,Albertus,,Blarer,,,,,,,,,30 41 191 214 300 309 326 360
Albertus Bluther 285.,Albertus,,Bluther,,,,,,,,,285
Albertus Bodeke 41 208.,Albertus,,Bodeke,,,,,,,,,41 208
Albertus Boullay 41.,Albertus,,Boullay,,,,,,,,,41
Albertus Chodel 376.,Albertus,,Chodel,,,,,,,,,376
Albertus com. de Mansfelt 43.,Albertus,,,,,,,com. de Mansfelt,,,,43
Albertus Coper 42.,Albertus,,Coper,,,,,,,,,42
Albertus de Bandlow 249.,Albertus,,de Bandlow,,,,,,,,,249
Albertus de Chuden 41.,Albertus,,de Chuden,,,,,,,,,41
Albertus de Coszowo 42.,Albertus,,de Coszowo,,,,,,,,,42
Albertus de Ebeleiben 387.,Albertus,,de Ebeleiben,,,,,,,,,387
Albertus de Eglofstein 42.,Albertus,,de Eglofstein,,,,,,,,,42
"Albertus de Hohenloch (Hochenloch, Hahenlich) 42 126 153 245.",Albertus,,de Hohenloch,"Hochenloch, Hahenlich",,,,,,,,42 126 153 245
Albertus de Wernygerode 120.,Albertus,,de Wernygerode,,,,,,,,,120
Albertus dec. eccl. Halberst. 21.,Albertus,,,,,,,dec.,eccl. Halberst.,,,21
Albertus dux Austrie 14 22 40 245.,Albertus,,,,,,,dux Austrie,,,,14 22 40 245
Albertus dux Saxonie 40.,Albertus,,,,,,,dux Saxonie,,,,40
Albertus el. Halberst. 39 204.,Albertus,,,,,,,el. Halberst.,,,,39 204
Albertus Engelschalch 275.,Albertus,,Engelschalch,,,,,,,,,275
Albertus ep. Bamberg. 39 61 93 123 126 159.,Albertus,,,,,,,ep. Bamberg.,,,,39 61 93 123 126 159
Albertus ep. Herbipol. 167.,Albertus,,,,,,,ep. Herbipol.,,,,167
Albertus ep. Patav. 26 29.,Albertus,,,,,,,ep. Patav.,,,,26 29
Albertus ep. Poznan. al Cracov. 39 43 198 243 249 273 314 341.,Albertus,,,,,,,ep. Poznan. al Cracov.,,,,39 43 198 243 249 273 314 341
Albertus ep. Ratisp. 110 121 185 193 234 328 395.,Albertus,,,,,,,ep. Ratisp.,,,,110 121 185 193 234 328 395
Albertus Fawstriczer 42.,Albertus,,Fawstriczer,,,,,,,,,42
Albertus Fleischmann 96.,Albertus,,Fleischmann,,,,,,,,,96
Albertus Franckengruner 111.,Albertus,,Franckengruner,,,,,,,,,111
